name,x,y
LOCKb2014b_000282,739.4765,239.9065
LOCKb2014b_000282,779.391,171.5525
LOCKb2014b_000282,345.76,302.9625
LOCKb2014b_000282,472.1725,202.971
LOCKb2014b_000282,51.535,271.528
LOCKb2014b_000282,545.637,180.4185
LOCKb2014b_000282,838.507,212.8975
LOCKb2014b_000282,455.158,566.317
LOCKb2014b_000282,206.855,581.099
LOCKb2014b_000282,429.98,571.927
LOCKb2014b_000282,177.118,591.589
LOCKb2014b_000283,315.207,389.908
LOCKb2014b_000283,63.8015,261.0685
LOCKb2014b_000283,213.726,589.041
LOCKb2014b_000283,743.4145,587.784
LOCKb2014b_000283,731.11,243.15
LOCKb2014b_000283,330.0445,382.3795
LOCKb2014b_000283,175.37,598.173
LOCKb2014b_000283,782.338,169.605
LOCKb2014b_000283,856.144,210.02
LOCKb2014b_000283,47.404,275.423
LOCKb2014b_000283,482.4065,203.747
LOCKb2014b_000283,538.918,182.648
LOCKb2014b_000284,776.595,170.756
LOCKb2014b_000284,352.099,307.428
LOCKb2014b_000284,493.279,197.831
LOCKb2014b_000284,562.22,175.566
LOCKb2014b_000284,182.855,598.155
LOCKb2014b_000284,738.047,235.836
LOCKb2014b_000284,853.487,215.827
LOCKb2014b_000284,338.0345,316.051
LOCKb2014b_000284,552.885,185.563
LOCKb2014b_000284,42.751,273.077
LOCKb2014b_000284,320.293,388.669
LOCKb2014b_000284,209.0295,586.496
LOCKb2014b_000285,434.777,581.9155
LOCKb2014b_000285,784.971,170.6905
LOCKb2014b_000285,730.888,240.897
LOCKb2014b_000285,987.2325,210.6475
LOCKb2014b_000285,483.2805,203.7575
LOCKb2014b_000285,848.396,212.8895
LOCKb2014b_000285,562.507,183.8235
LOCKb2014b_000285,454.8565,577.6425
LOCKb2014b_000285,497.72,197.815
LOCKb2014b_000285,49.085,266.8295
LOCKb2014b_000285,722.1255,592.905
LOCKb2014b_000285,542.43,182.6975
LOCKb2014b_000286,732.4715,238.379
